model,fs_method,k,accuracy,fmeasure,precision,recall,roc
dt,lrs,40,0.6595818815331009,0.6527954223262185,0.6911432860824128,0.6595818815331009,0.6600447264406074
lr,rfe,40,0.6636469221835075,0.6584448810346224,0.68023083257204,0.6636469221835075,0.7278094445600166
nb,rfe,40,0.6189314750290361,0.6114434247012646,0.6512377433565941,0.6189314750290361,0.7492562929061786
knn,rfe,40,0.5667828106852497,0.5653141821862966,0.5711879918264422,0.5667828106852497,0.6015253796546702
rf,rfe,40,0.6929152148664344,0.6869730191359359,0.716976463880726,0.6929152148664344,0.7790903890160183
dt,rfe,40,0.640650406504065,0.6335916295007362,0.6596165384205853,0.640650406504065,0.6385375494071146
lr,bor,40,0.6586527293844366,0.6541910073196029,0.6715122628639074,0.6586527293844366,0.7255876846265862
nb,bor,40,0.623925667828107,0.6146013785962715,0.6423237157265762,0.623925667828107,0.7368493863116289
knn,bor,40,0.605458768873403,0.6026666557461399,0.609446163281268,0.605458768873403,0.6278905762429791
rf,bor,40,0.7073170731707317,0.7032358106522619,0.7234980559003518,0.7073170731707317,0.7854550655294362
dt,bor,40,0.6310104529616725,0.6252849273580982,0.6471393540355994,0.6310104529616725,0.6293811108799667
lr,lass,40,0.7403019744483159,0.7356464311430795,0.7636259651008694,0.7403019744483159,0.8129925109215728
nb,lass,40,0.6720092915214866,0.651458854752105,0.6956352319922905,0.6720092915214866,0.7449074266694404
knn,lass,40,0.6580720092915215,0.6562376076862141,0.6740626721586145,0.6580720092915215,0.712082899937591
rf,lass,40,0.7261324041811846,0.7208048284088189,0.7490795837968977,0.7261324041811846,0.7914234449760765
dt,lass,40,0.6828106852497096,0.6785764480712215,0.7001242860255781,0.6828106852497096,0.6857624297898897
lr,muin,40,0.673170731707317,0.6694005384187893,0.6845693199346303,0.673170731707317,0.7554951112960266
nb,muin,40,0.6236933797909409,0.6172924634799686,0.6519695187997638,0.6236933797909409,0.7441127522363219
knn,muin,40,0.6434378629500581,0.6428152872842775,0.6464434900497619,0.6434378629500581,0.68066309548575
rf,muin,40,0.7069686411149826,0.6973185719555544,0.7404240940297162,0.7069686411149826,0.7905752028292073
dt,muin,40,0.6263646922183508,0.6146142234637696,0.6364407962665802,0.6263646922183508,0.6284376950280841
lr,chi,40,0.6631823461091753,0.661307439393991,0.6740024937110107,0.6631823461091753,0.7608435614728521
nb,chi,40,0.6383275261324042,0.6251853152043874,0.6596264242212315,0.6383275261324042,0.7535666736009985
knn,chi,40,0.6059233449477353,0.6035213339101748,0.6143195815529813,0.6059233449477353,0.661472852090701
rf,chi,40,0.7118466898954704,0.7065696988183026,0.7356685164089827,0.7118466898954704,0.7851742250884127
dt,chi,40,0.6545876887340303,0.6498368924561497,0.6733996534164861,0.6545876887340303,0.6573829831495736
lr,rfc,40,0.6538908246225319,0.6487638558650526,0.6680871466107436,0.6538908246225319,0.7260037445392136
nb,rfc,40,0.6094076655052266,0.6008966476339892,0.631877045718509,0.6094076655052266,0.7354680674017058
knn,rfc,40,0.5720092915214866,0.5680385822418984,0.5789306754868792,0.5720092915214866,0.6172623257749116
rf,rfc,40,0.6931475029036005,0.6886390807092129,0.7057630430573409,0.6931475029036005,0.7732873933846475
dt,rfc,40,0.6788617886178863,0.6716951753236616,0.7102279727116227,0.6788617886178863,0.6782858331599751
lr,ulap,40,0.6493612078977933,0.6418741659512135,0.6596871033061358,0.6493612078977933,0.7093467859371749
nb,ulap,40,0.6241579558652728,0.6162236240554348,0.6453565322314041,0.6241579558652728,0.6868202621177449
knn,ulap,40,0.5472706155632985,0.5465306089469447,0.5484882634905124,0.5472706155632985,0.5836769294778448
rf,ulap,40,0.6976771196283391,0.6875661072631546,0.724193103078552,0.6976771196283391,0.7578635323486582
dt,ulap,40,0.6168408826945412,0.6075933801487797,0.6273315396898138,0.6168408826945412,0.616653838152694
lr,uilap,40,0.6493612078977933,0.6418741659512135,0.6596871033061358,0.6493612078977933,0.7093467859371749
nb,uilap,40,0.6241579558652728,0.6162236240554348,0.6453565322314041,0.6241579558652728,0.6868202621177449
